title,price(tk),special_price(tk),emi,reviews,product_id,ram,storage,generation,graphics_memory,processor_type,display_size(inch)
Microsoft Surface Laptop 4 Intel Core i5 1135G7 13.5 Inch Pixelsense Multi Touch Display Platinum Laptop #5AI-00085,"156,240","145,000","Monthly EMI Tk 13,020",,33.03.191.322,16GB,512GB SSD,11th (Intel),Shared,Core i5,13.5
Microsoft Surface Laptop 4 Intel Core i5 1135G7 13.5 Inch Pixelsense Multi Touch Display Ice Blue Alcantara Surface Laptop #5BV-00024,"148,100","137,000","Monthly EMI Tk 12,342", 1 reviews ,33.03.191.224,8GB,512GB SSD,11th (Intel),Shared,Core i5,13.5
Microsoft Surface Laptop 4 Intel Core i7 1185G7 15 Inch Pixelsense Multi Touch Display Platinum Surface Laptop (5JI-00001),"149,730","139,000","Monthly EMI Tk 12,478", 1 reviews ,33.03.191.304,8GB,256GB SSD,11th (Intel),Shared,Core i7,15
Microsoft Surface Pro 8 Intel Core i5 1145G7 13 Inch PixelSense Flow MultiTouch Display Graphite Laptop #EBQ-00016,"149,730","139,000","Monthly EMI Tk 12,478",,33.03.191.324,8GB,512GB SSD,11th (Intel),Shared,Core i5,13
Microsoft Surface Laptop 4 Intel Core i5 1135G7 13.5 Inch Pixelsense Multi Touch Display Matte Black Metal Surface Laptop #5BV-00001,"148,100","137,000","Monthly EMI Tk 12,342", 2 reviews ,33.03.191.253,8GB,512GB SSD,11th (Intel),Shared,Core i5,13.5
Microsoft Surface Laptop 4 Intel Core i5 1135G7 13.5 Inch Multi Touch Display Platinum Alcantara Surface Laptop #5BT-00035,"148,100","137,000","Monthly EMI Tk 12,342", 1 reviews ,33.03.191.281,8GB,512GB SSD,11th (Intel),Shared,Core i5,13.5
Microsoft Surface Laptop 4 Intel Core i5 1135G7 13.5 Inch Multi Touch Display Matte Black Metal Surface Laptop #5BT-00077,"148,100","137,000","Monthly EMI Tk 12,342", 12 reviews ,33.03.191.327,8GB,512GB SSD,11th (Intel),Shared,Core i5,13.5
Asus VivoBook Pro 15 M3500QC AMD Ryzen 5 5600H 15.6 Inch FHD WV Display Quiet Blue Laptop #KJ376W/KJ435W-M3500QC,"144,310","135,000","Monthly EMI Tk 12,026", 1 reviews ,33.01.006.1477,16GB,512GB SSD,Not Applicable,4GB,Ryzen 5,15.6
Dell Inspiron 16 5620 Intel Core i7 1255U 16 Inch FHD+ Display Platinum Silver Laptop #ODINN516ADL23016004-2Y,"141,050","131,000","Monthly EMI Tk 11,754",,33.01.013.1631,16GB,512GB SSD,12th (Intel),2GB,Core i7,16
Asus VivoBook S 16X S5602ZA Intel Core i5 12500H 16 Inch WQXGA Display Midnight Black Laptop #KV100W-S5602ZA,"138,880","130,000","Monthly EMI Tk 11,573", 1 reviews ,33.01.006.1602,16GB,512GB SSD,12th (Intel),Shared,Core i5,16
Asus VivoBook Pro 15 M3500QC AMD Ryzen 9 5900HX 15.6 Inch FHD WV Display Quiet Blue Laptop #KJ371W/KJ433W-M3500QC,"169,260","158,000","Monthly EMI Tk 14,105",,33.01.006.1608,16GB,512GB SSD,Not Applicable,4GB,Ryzen 9,15.6
